Parada;Veiculo;Rota;DataHoraAntesParada;DistanciaAntesParada;DataHoraDepoisParada;DistanciaDepoisParada;VelociadadeKmH
FIM 104C;2050;0104C;21/03/2018 06:51;10,3046875;21/03/2018 06:52;0,015625;0,688000023
FIM 104C;2004;0104C;21/03/2018 07:04;33,1953125;21/03/2018 07:05;0,00390625;3,983999968
FIM 104C;2083;0104C;21/03/2018 07:20;33,1953125;21/03/2018 07:21;0,00390625;2,173090935
FIM 104C;2062;0104C;21/03/2018 07:43;33,18359375;21/03/2018 07:43;0,015625;4,268571377
FIM 104C;2052;0104C;21/03/2018 08:06;33,1953125;21/03/2018 08:07;0,00390625;3,983999968
FIM 104C;2053;0104C;21/03/2018 08:08;33,1953125;21/03/2018 08:08;0,00390625;19,92000008
P01 I 104C;2083;0104C;21/03/2018 06:09;27,57275391;21/03/2018 06:09;167,3574219;22,63703156
P01 I 104C;2062;0104C;21/03/2018 06:18;9,182617188;21/03/2018 06:19;124,4372559;16,03440094
P01 I 104C;2052;0104C;21/03/2018 06:46;57,65258789;21/03/2018 06:46;51,27734375;15,08261585
P01 I 104C;2026;0104C;21/03/2018 07:27;9,182617188;21/03/2018 07:28;253,4973145;17,1935997
P01 I 104C;2083;0104C;21/03/2018 07:34;9,162597656;21/03/2018 07:35;253,517334;31,52160072
P01 I 104C;2062;0104C;21/03/2018 07:54;9,192626953;21/03/2018 07:55;167,3674316;21,18720055
P01 I 104C;2052;0104C;21/03/2018 08:17;9,182617188;21/03/2018 08:17;124,4372559;16,03440094
P02 I 104C;2026;0104C;21/03/2018 07:16;0,58004567;21/03/2018 07:18;125,0799543;3,677853584
P02 I 104C;2062;0104C;21/03/2018 07:44;0,040045679;21/03/2018 07:44;38,26995295;4,597199917
P02 I 104C;2053;0104C;21/03/2018 08:14;0,420045674;21/03/2018 08:14;1,579954326;0,239999995
P03 I 104C;2052;0104C;21/03/2018 00:03;145,2647552;21/03/2018 00:03;143,255249;34,62239838
P03 I 104C;2062;0104C;21/03/2018 00:03;32,22476196;21/03/2018 00:04;327,9752197;41,82967758
P03 I 104C;2083;0104C;21/03/2018 00:43;221,4347534;21/03/2018 00:43;37,96524048;29,18250084
P03 I 104C;2026;0104C;21/03/2018 05:52;250,6147614;21/03/2018 05:52;366,8452148;185,2380066
P03 I 104C;2083;0104C;21/03/2018 05:58;1,704772949;21/03/2018 05:59;99,23522949;6,606981754
P03 I 104C;2062;0104C;21/03/2018 06:10;72,65475464;21/03/2018 06:11;67,6852417;16,84079933
P03 I 104C;2052;0104C;21/03/2018 06:34;14,01477051;21/03/2018 06:35;99,23522949;9,06000042
P03 I 104C;2053;0104C;21/03/2018 06:39;196,4347534;21/03/2018 06:40;99,24523926;19,35359955
P03 I 104C;2050;0104C;21/03/2018 06:57;0,754760742;21/03/2018 06:57;5,645233154;2,880000114
P03 I 104C;2026;0104C;21/03/2018 07:18;254,0047607;21/03/2018 07:19;182,0352173;28,03114319
P03 I 104C;2083;0104C;21/03/2018 07:26;250,5647583;21/03/2018 07:26;67,69525146;38,19120026
P03 I 104C;2062;0104C;21/03/2018 07:45;251,9147644;21/03/2018 07:46;5,645233154;21,56316185
P03 I 104C;2052;0104C;21/03/2018 08:09;98,92477417;21/03/2018 08:10;143,2352295;15,85047245
P04 I 104C;2052;0104C;21/03/2018 00:03;57,05499268;21/03/2018 00:03;76,86499023;37,08553696
P04 I 104C;2062;0104C;21/03/2018 00:03;232,5350037;21/03/2018 00:04;127,664978;41,82967758
P04 I 104C;2083;0104C;21/03/2018 00:43;162,3450012;21/03/2018 00:44;166,5449829;39,46680069
P04 I 104C;2026;0104C;21/03/2018 05:52;450,9250031;21/03/2018 05:52;166,5349731;185,2380066
P04 I 104C;2083;0104C;21/03/2018 05:59;57,06500244;21/03/2018 05:59;6,275024414;17,540308
P04 I 104C;2062;0104C;21/03/2018 06:11;132,625;21/03/2018 06:11;155,4949951;34,57440186
P04 I 104C;2052;0104C;21/03/2018 06:35;101,0750122;21/03/2018 06:36;76,875;18,84176445
P04 I 104C;2053;0104C;21/03/2018 06:40;101,0650024;21/03/2018 06:40;127,664978;27,44759941
P04 I 104C;2050;0104C;21/03/2018 06:57;194,6650085;21/03/2018 06:58;127,625;24,68604279
P04 I 104C;2026;0104C;21/03/2018 07:19;18,27502441;21/03/2018 07:19;6,275024414;17,6760006
P04 I 104C;2083;0104C;21/03/2018 07:27;18,28497314;21/03/2018 07:27;155,4949951;104,2679977
P04 I 104C;2062;0104C;21/03/2018 07:47;57,06500244;21/03/2018 07:47;166,5250244;26,8307991
P04 I 104C;2052;0104C;21/03/2018 08:11;57,04498291;21/03/2018 08:11;166,5250244;804,8519897
P05 I 104C;2052;0104C;21/03/2018 00:03;64,8963623;21/03/2018 00:04;446,5836182;33,4786911
P05 I 104C;2062;0104C;21/03/2018 00:04;64,8963623;21/03/2018 00:04;355,5537109;50,45399857
P05 I 104C;2083;0104C;21/03/2018 00:44;26,01635742;21/03/2018 00:44;387,4436035;49,61520004
P05 I 104C;2026;0104C;21/03/2018 05:52;26,02636719;21/03/2018 05:53;388,7937012;27,15185547
P05 I 104C;2083;0104C;21/03/2018 06:01;26,04632568;21/03/2018 06:01;123,3036499;179,2200012
P05 I 104C;2062;0104C;21/03/2018 06:11;37,06634521;21/03/2018 06:12;167,7436523;24,57719994
P05 I 104C;2052;0104C;21/03/2018 06:37;26,00634766;21/03/2018 06:38;167,7736816;24,91457176
P05 I 104C;2053;0104C;21/03/2018 06:41;37,07635498;21/03/2018 06:42;5,123657227;2,762181759
P05 I 104C;2026;0104C;21/03/2018 07:21;37,06634521;21/03/2018 07:21;463,0437012;257,1994324
P05 I 104C;2026;0104C;21/03/2018 07:21;37,06634521;21/03/2018 07:21;463,0437012;
P05 I 104C;2026;0104C;21/03/2018 07:21;37,06634521;21/03/2018 07:22;688,3336182;47,48072815
P05 I 104C;2083;0104C;21/03/2018 07:28;37,05633545;21/03/2018 07:29;285,4936523;21,11236382
P05 I 104C;2062;0104C;21/03/2018 07:47;26,03631592;21/03/2018 07:48;52,50366211;9,424799919
P05 I 104C;2052;0104C;21/03/2018 08:11;26,03631592;21/03/2018 08:11;82,54364014;11,49670601
P06 I 104C;2052;0104C;21/03/2018 00:03;309,597168;21/03/2018 00:04;201,8828125;33,4786911
P06 I 104C;2062;0104C;21/03/2018 00:04;309,597168;21/03/2018 00:04;110,8529053;50,45399857
P06 I 104C;2083;0104C;21/03/2018 00:44;270,7171631;21/03/2018 00:44;142,7427979;49,61520004
P06 I 104C;2026;0104C;21/03/2018 05:52;270,7271729;21/03/2018 05:53;144,0928955;27,15185547
P06 I 104C;2083;0104C;21/03/2018 06:01;121,3971558;21/03/2018 06:02;218,3828125;22,24014473
P06 I 104C;2062;0104C;21/03/2018 06:12;76,95715332;21/03/2018 06:12;210,8529053;34,53720093
P06 I 104C;2052;0104C;21/03/2018 06:38;76,92712402;21/03/2018 06:38;5,552856445;8,733176231
P06 I 104C;2026;0104C;21/03/2018 07:21;281,7671509;21/03/2018 07:21;218,3428955;257,1994324
P06 I 104C;2026;0104C;21/03/2018 07:21;281,7671509;21/03/2018 07:21;218,3428955;
P06 I 104C;2026;0104C;21/03/2018 07:21;281,7671509;21/03/2018 07:22;443,6328125;47,48072815
P06 I 104C;2083;0104C;21/03/2018 07:28;281,7571411;21/03/2018 07:29;40,79284668;21,11236382
P06 I 104C;2062;0104C;21/03/2018 07:48;192,1971436;21/03/2018 07:48;137,0828857;39,5135994
P06 I 104C;2052;0104C;21/03/2018 08:11;162,1571655;21/03/2018 08:12;323,3428955;31,77818108
P07 I 104C;2052;0104C;21/03/2018 00:05;50,17590332;21/03/2018 00:05;184,0740967;28,11000061
P07 I 104C;2062;0104C;21/03/2018 00:05;108,2958984;21/03/2018 00:05;131,2740479;28,74839973
P07 I 104C;2083;0104C;21/03/2018 00:45;108,2958984;21/03/2018 00:45;184,0740967;35,08440018
P07 I 104C;2026;0104C;21/03/2018 05:55;4,955932617;21/03/2018 05:56;289,0240479;28,60346031
P07 I 104C;2083;0104C;21/03/2018 06:03;4,965942383;21/03/2018 06:03;292,2740479;22,76731873
P07 I 104C;2062;0104C;21/03/2018 06:13;50,18591309;21/03/2018 06:13;70,09399414;14,43360043
P07 I 104C;2052;0104C;21/03/2018 06:39;162,7858887;21/03/2018 06:40;110,3140869;18,55018806
P07 I 104C;2026;0104C;21/03/2018 07:21;655,2859497;21/03/2018 07:22;70,11401367;47,48072815
P07 I 104C;2083;0104C;21/03/2018 07:30;50,17590332;21/03/2018 07:30;110,3240967;19,26000023
P07 I 104C;2062;0104C;21/03/2018 07:49;50,18591309;21/03/2018 07:50;535,5040283;38,33607101
P07 I 104C;2052;0104C;21/03/2018 08:12;50,17590332;21/03/2018 08:13;257,5040283;36,92160034
P08 I 104C;2052;0104C;21/03/2018 00:05;100,6984863;21/03/2018 00:06;129,8814697;27,66959953
P08 I 104C;2062;0104C;21/03/2018 00:05;153,4985352;21/03/2018 00:06;129,8914795;34,00680161
P08 I 104C;2083;0104C;21/03/2018 00:45;100,6984863;21/03/2018 00:46;188,8314209;34,74359894
P08 I 104C;2026;0104C;21/03/2018 05:55;289,7285156;21/03/2018 05:56;4,251464844;28,60346031
P08 I 104C;2083;0104C;21/03/2018 06:03;289,7385254;21/03/2018 06:03;7,501464844;22,76731873
P08 I 104C;2062;0104C;21/03/2018 06:13;214,6785889;21/03/2018 06:14;55,42150879;32,41199875
P08 I 104C;2052;0104C;21/03/2018 06:40;27,27856445;21/03/2018 06:41;188,8314209;14,14538193
P08 I 104C;2026;0104C;21/03/2018 07:23;27,26855469;21/03/2018 07:23;238,201416;31,85639954
P08 I 104C;2083;0104C;21/03/2018 07:30;153,4985352;21/03/2018 07:30;4,261474609;40,56685638
P08 I 104C;2062;0104C;21/03/2018 07:49;334,9584961;21/03/2018 07:50;250,7314453;38,33607101
P08 I 104C;2052;0104C;21/03/2018 08:13;27,26855469;21/03/2018 08:13;129,8814697;18,8579998
P09 I 104C;2052;0104C;21/03/2018 00:06;114,9364014;21/03/2018 00:06;88,05358887;24,35880089
P09 I 104C;2062;0104C;21/03/2018 00:06;114,9263916;21/03/2018 00:06;77,17358398;23,05200005
P09 I 104C;2083;0104C;21/03/2018 00:46;55,9864502;21/03/2018 00:46;121,1136475;21,25200081
P09 I 104C;2026;0104C;21/03/2018 05:56;240,5664063;21/03/2018 05:57;39,41357422;83,9940033
P09 I 104C;2083;0104C;21/03/2018 06:04;114,9464111;21/03/2018 06:04;39,40356445;18,52199936
P09 I 104C;2062;0104C;21/03/2018 06:14;189,3963623;21/03/2018 06:14;39,39355469;27,45479965
P09 I 104C;2052;0104C;21/03/2018 06:41;6,616455078;21/03/2018 06:41;19,44360352;4,264363766
P09 I 104C;2026;0104C;21/03/2018 07:23;6,616455078;21/03/2018 07:24;77,15356445;10,05239964
P09 I 104C;2083;0104C;21/03/2018 07:30;240,5563965;21/03/2018 07:31;39,43359375;18,32661819
P09 I 104C;2062;0104C;21/03/2018 07:49;579,7763672;21/03/2018 07:50;5,913574219;38,33607101
P09 I 104C;2052;0104C;21/03/2018 08:13;114,9364014;21/03/2018 08:14;121,0836182;28,32239914
P10 I 104C;2052;0104C;21/03/2018 00:07;48,73168945;21/03/2018 00:07;215,4082031;31,69680023
P10 I 104C;2062;0104C;21/03/2018 00:07;48,73168945;21/03/2018 00:07;179,3083496;27,3647995
P10 I 104C;2083;0104C;21/03/2018 00:46;202,2617188;21/03/2018 00:47;37,97827148;28,8288002
P10 I 104C;2026;0104C;21/03/2018 05:57;283,961792;21/03/2018 05:58;179,2983398;29,78100014
P10 I 104C;2083;0104C;21/03/2018 06:05;99,95166016;21/03/2018 06:06;37,94824219;16,54800034
P10 I 104C;2062;0104C;21/03/2018 06:15;173,2316895;21/03/2018 06:15;37,93823242;24,52296829
P10 I 104C;2052;0104C;21/03/2018 06:43;7,021728516;21/03/2018 06:43;97,34814453;187,8659973
P10 I 104C;2026;0104C;21/03/2018 07:24;246,2017822;21/03/2018 07:25;5,778320313;302,3760071
P10 I 104C;2083;0104C;21/03/2018 07:32;48,74169922;21/03/2018 07:32;179,3083496;27,36599922
P10 I 104C;2062;0104C;21/03/2018 07:52;283,9718018;21/03/2018 07:52;226,8181152;459,7109985
P10 I 104C;2052;0104C;21/03/2018 08:14;202,291748;21/03/2018 08:14;5,788330078;24,96960068
P11 I 104C;2052;0104C;21/03/2018 00:07;246,5651855;21/03/2018 00:07;17,57470703;31,69680023
P11 I 104C;2062;0104C;21/03/2018 00:07;18,52514648;21/03/2018 00:08;167,4648438;22,31879997
P11 I 104C;2083;0104C;21/03/2018 00:47;159,8552246;21/03/2018 00:47;28,98461914;35,7802124
P11 I 104C;2026;0104C;21/03/2018 05:58;18,53515625;21/03/2018 05:58;18,29467773;26,51759911
P11 I 104C;2083;0104C;21/03/2018 06:06;159,8752441;21/03/2018 06:06;28,97485352;23,44344902
P11 I 104C;2062;0104C;21/03/2018 06:15;159,8952637;21/03/2018 06:16;28,97485352;22,6644001
P11 I 104C;2052;0104C;21/03/2018 06:43;100,4853516;21/03/2018 06:43;28,99462891;15,03638744
P11 I 104C;2026;0104C;21/03/2018 07:25;192,0551758;21/03/2018 07:25;115,9248047;20,15869141
P11 I 104C;2083;0104C;21/03/2018 07:32;18,52514648;21/03/2018 07:33;71,48461914;10,80119991
P11 I 104C;2062;0104C;21/03/2018 07:52;481,8052979;21/03/2018 07:52;28,98461914;459,7109985
P11 I 104C;2052;0104C;21/03/2018 08:14;192,045166;21/03/2018 08:15;20,14477539;24,64141846
P12 I 104C;2083;0104C;21/03/2018 06:08;226,7578125;21/03/2018 06:08;3,532226563;829,0440063
P12 I 104C;2062;0104C;21/03/2018 06:16;305,3876953;21/03/2018 06:17;47,44213867;26,46224976
P12 I 104C;2052;0104C;21/03/2018 06:44;185,9978027;21/03/2018 06:45;192,2722168;25,69381142
P12 I 104C;2026;0104C;21/03/2018 07:26;41,43774414;21/03/2018 07:27;423,7822266;34,89149857
P12 I 104C;2083;0104C;21/03/2018 07:33;0,467773438;21/03/2018 07:34;423,8022461;27,77039909
P12 I 104C;2062;0104C;21/03/2018 07:52;347,8779297;21/03/2018 07:53;57,12207031;26,50909042
P12 I 104C;2052;0104C;21/03/2018 08:15;260,9377441;21/03/2018 08:16;3,542236328;31,73760033
P13 I 104C;2083;0104C;21/03/2018 06:08;217,416748;21/03/2018 06:09;184,4431152;25,83385658
P13 I 104C;2062;0104C;21/03/2018 06:18;23,97680664;21/03/2018 06:18;202,833252;27,21719933
P13 I 104C;2052;0104C;21/03/2018 06:45;28,67675781;21/03/2018 06:46;154,3632813;19,38070679
P13 I 104C;2026;0104C;21/03/2018 07:26;262,3867188;21/03/2018 07:27;202,833252;34,89149857
P13 I 104C;2083;0104C;21/03/2018 07:33;221,416748;21/03/2018 07:34;202,8532715;27,77039909
P13 I 104C;2062;0104C;21/03/2018 07:53;163,8269043;21/03/2018 07:54;11,77319336;21,0720005
P13 I 104C;2052;0104C;21/03/2018 08:16;23,97680664;21/03/2018 08:17;202,833252;27,21719933
P14 I 104C;2026;0104C;21/03/2018 06:01;5,868896484;21/03/2018 06:02;299,7709961;36,67679977
P14 I 104C;2083;0104C;21/03/2018 06:09;64,83911133;21/03/2018 06:09;130,0910645;22,63703156
P14 I 104C;2062;0104C;21/03/2018 06:18;46,44897461;21/03/2018 06:19;87,17089844;16,03440094
P14 I 104C;2052;0104C;21/03/2018 06:46;94,91894531;21/03/2018 06:46;14,01098633;15,08261585
P14 I 104C;2026;0104C;21/03/2018 07:27;46,44897461;21/03/2018 07:28;216,230957;17,1935997
P14 I 104C;2083;0104C;21/03/2018 07:34;46,42895508;21/03/2018 07:35;216,2509766;31,52160072
P14 I 104C;2062;0104C;21/03/2018 07:54;46,45898438;21/03/2018 07:55;130,1010742;21,18720055
P14 I 104C;2052;0104C;21/03/2018 08:17;46,44897461;21/03/2018 08:17;87,17089844;16,03440094
P16 I 104C;2026;0104C;21/03/2018 06:05;437,6396484;21/03/2018 06:05;5,23046875;177,147995
P16 I 104C;2083;0104C;21/03/2018 06:12;50,23974609;21/03/2018 06:13;35,8203125;12,9090004
P16 I 104C;2062;0104C;21/03/2018 06:23;34,80957031;21/03/2018 06:24;410,6303711;29,15607262
P16 I 104C;2052;0104C;21/03/2018 06:49;34,79980469;21/03/2018 06:49;35,8203125;11,05356503
P16 I 104C;2026;0104C;21/03/2018 07:32;150,3598633;21/03/2018 07:32;35,8203125;51,55753708
P16 I 104C;2083;0104C;21/03/2018 07:38;34,77978516;21/03/2018 07:39;320,6103516;22,8465004
P16 I 104C;2062;0104C;21/03/2018 07:58;149,7495117;21/03/2018 07:59;35,81054688;22,26720047
P16 I 104C;2052;0104C;21/03/2018 08:21;34,79980469;21/03/2018 08:22;35,8203125;8,474399567
P17 I 104C;2026;0104C;21/03/2018 06:05;376,4760742;21/03/2018 06:06;210,0141602;38,38843536
P17 I 104C;2083;0104C;21/03/2018 06:15;7,696289063;21/03/2018 06:15;40,55371094;6,680769444
P17 I 104C;2062;0104C;21/03/2018 06:26;1,666015625;21/03/2018 06:26;202,7241211;105,1148605
P17 I 104C;2052;0104C;21/03/2018 06:51;169,4960938;21/03/2018 06:51;40,56396484;756,2160034
P17 I 104C;2026;0104C;21/03/2018 07:34;376,4760742;21/03/2018 07:34;280,0341797;472,6871948
P17 I 104C;2083;0104C;21/03/2018 07:39;1,5859375;21/03/2018 07:40;210,0341797;25,39439964
P17 I 104C;2062;0104C;21/03/2018 08:00;12,77587891;21/03/2018 08:00;176,184082;22,67519951
P17 I 104C;2052;0104C;21/03/2018 08:23;19,75585938;21/03/2018 08:23;120,6538086;11,7552557
P18 I 104C;2026;0104C;21/03/2018 06:05;585,5283203;21/03/2018 06:06;0,961914063;38,38843536
P18 I 104C;2083;0104C;21/03/2018 06:16;8,288085938;21/03/2018 06:16;152,0917969;24,05699921
P18 I 104C;2062;0104C;21/03/2018 06:29;6,328125;21/03/2018 06:29;373,3818359;54,67824173
P18 I 104C;2052;0104C;21/03/2018 06:51;168,4882813;21/03/2018 06:52;155,6318359;21,21512794
P18 I 104C;2026;0104C;21/03/2018 07:34;585,5283203;21/03/2018 07:34;70,98193359;472,6871948
P18 I 104C;2083;0104C;21/03/2018 07:39;210,6381836;21/03/2018 07:40;0,981933594;25,39439964
P18 I 104C;2062;0104C;21/03/2018 08:00;32,86816406;21/03/2018 08:01;163,2714844;23,53680038
P18 I 104C;2052;0104C;21/03/2018 08:23;88,3984375;21/03/2018 08:24;17,29150391;31,70700073
P19 I 104C;2026;0104C;21/03/2018 06:07;0,360351563;21/03/2018 06:07;176,5595703;21,23040009
P19 I 104C;2083;0104C;21/03/2018 06:16;0,380371094;21/03/2018 06:17;284,4296875;33,07471085
P19 I 104C;2062;0104C;21/03/2018 06:29;202,7001953;21/03/2018 06:29;177,0097656;54,67824173
P19 I 104C;2052;0104C;21/03/2018 06:52;40,74023438;21/03/2018 06:52;149,949707;22,88279915
P19 I 104C;2026;0104C;21/03/2018 07:34;33,09033203;21/03/2018 07:35;173,949707;24,84480095
P19 I 104C;2083;0104C;21/03/2018 07:40;179,0703125;21/03/2018 07:41;158,7998047;22,11512756
P19 I 104C;2062;0104C;21/03/2018 08:01;0,380371094;21/03/2018 08:02;177,159668;21,30480003
P19 I 104C;2052;0104C;21/03/2018 08:24;0,350585938;21/03/2018 08:25;155,7094727;18,72719955
P20 I 104C;2026;0104C;21/03/2018 06:07;123,2456055;21/03/2018 06:08;24,5546875;17,73600006
P20 I 104C;2083;0104C;21/03/2018 06:17;15,37548828;21/03/2018 06:17;202,1142578;26,09880066
P20 I 104C;2062;0104C;21/03/2018 06:29;12,46533203;21/03/2018 06:30;2,5546875;1,590352893
P20 I 104C;2052;0104C;21/03/2018 06:53;12,46533203;21/03/2018 06:53;3,194335938;2,684571505
P20 I 104C;2026;0104C;21/03/2018 07:35;123,3056641;21/03/2018 07:36;205,5244141;24,15893936
P20 I 104C;2083;0104C;21/03/2018 07:42;12,4453125;21/03/2018 07:42;24,57421875;4,442399979
P20 I 104C;2062;0104C;21/03/2018 08:03;12,48535156;21/03/2018 08:03;205,034668;783,0720215
P20 I 104C;2052;0104C;21/03/2018 08:25;126,715332;21/03/2018 08:25;105,984375;837,7199707
P21 I 104C;2026;0104C;21/03/2018 06:08;183,6826172;21/03/2018 06:08;131,5673828;37,83000183
P21 I 104C;2083;0104C;21/03/2018 06:17;6,123046875;21/03/2018 06:18;222,0273438;27,37800026
P21 I 104C;2062;0104C;21/03/2018 06:30;203,7626953;21/03/2018 06:31;312,6572266;33,80203629
P21 I 104C;2052;0104C;21/03/2018 06:54;2,712890625;21/03/2018 06:55;262,6669922;31,84560013
P21 I 104C;2083;0104C;21/03/2018 07:42;183,6630859;21/03/2018 07:43;61,34716797;29,40119934
P21 I 104C;2062;0104C;21/03/2018 08:03;3,202636719;21/03/2018 08:04;333,5473633;22,04181862
P21 I 104C;2052;0104C;21/03/2018 08:25;102,2529297;21/03/2018 08:26;342,3369141;29,10043716
P22 I 104C;2026;0104C;21/03/2018 06:09;1,314453125;21/03/2018 06:10;72,78564453;24,25090981
P22 I 104C;2083;0104C;21/03/2018 06:18;23,234375;21/03/2018 06:19;89,265625;50,625
P22 I 104C;2062;0104C;21/03/2018 06:30;449,0244141;21/03/2018 06:31;67,39550781;33,80203629
P22 I 104C;2052;0104C;21/03/2018 06:54;247,9746094;21/03/2018 06:55;17,40527344;31,84560013
P22 I 104C;2083;0104C;21/03/2018 07:43;183,9145508;21/03/2018 07:43;87,80566406;32,60639954
P22 I 104C;2062;0104C;21/03/2018 08:03;248,4643555;21/03/2018 08:04;88,28564453;22,04181862
P22 I 104C;2052;0104C;21/03/2018 08:25;347,5146484;21/03/2018 08:26;97,07519531;29,10043716
P23 I 104C;2083;0104C;21/03/2018 06:19;487,0043945;21/03/2018 06:19;214,515625;49,51905823
P23 I 104C;2062;0104C;21/03/2018 06:32;284,284668;21/03/2018 06:33;211,7456055;59,52360153
P23 I 104C;2052;0104C;21/03/2018 06:57;187,5947266;21/03/2018 06:57;49,78564453;56,97119904
P23 I 104C;2062;0104C;21/03/2018 08:05;50,15478516;21/03/2018 08:05;603,4453125;78,43199921
P23 I 104C;2052;0104C;21/03/2018 08:27;44,5546875;21/03/2018 08:27;214,6352539;49,10968399
P24 I 104C;2083;0104C;21/03/2018 06:20;118,7988281;21/03/2018 06:20;493,9614258;73,53119659
P24 I 104C;2062;0104C;21/03/2018 06:33;210,5786133;21/03/2018 06:33;560,7211914;462,7799988
P24 I 104C;2052;0104C;21/03/2018 06:58;105,019043;21/03/2018 06:58;59,42138672;45,53723145
P24 I 104C;2062;0104C;21/03/2018 08:05;472,4790039;21/03/2018 08:05;181,1210938;78,43199921
P24 I 104C;2052;0104C;21/03/2018 08:27;207,6889648;21/03/2018 08:28;4,641113281;63,69900131
P25 I 104C;2083;0104C;21/03/2018 06:26;235,3720703;21/03/2018 06:26;544,4970703;561,5064087
P28 I 104C;2083;0104C;21/03/2018 06:27;19,81933594;21/03/2018 06:28;614,8212891;44,79811859
P28 I 104C;2026;0104C;21/03/2018 07:50;237,7587891;21/03/2018 07:50;221,1611328;43,47663116
P29 I 104C;2083;0104C;21/03/2018 06:27;415,1494141;21/03/2018 06:28;219,4912109;44,79811859
P30 I 104C;2083;0104C;21/03/2018 06:29;54,921875;21/03/2018 06:29;114,6279297;20,34600067
P31 I 104C;2050;0104C;21/03/2018 06:16;67,27929688;21/03/2018 06:17;29,12109375;11,56799984
P31 I 104C;2083;0104C;21/03/2018 06:38;3,87890625;21/03/2018 06:38;119,0810547;14,75520039
P31 I 104C;2062;0104C;21/03/2018 07:03;3,87890625;21/03/2018 07:04;29,69042969;4,028399944
P31 I 104C;2052;0104C;21/03/2018 07:30;3,888671875;21/03/2018 07:30;5,060546875;1,464545488
P31 I 104C;2053;0104C;21/03/2018 07:34;113,1386719;21/03/2018 07:35;29,07128906;10,44808197
P31 I 104C;2050;0104C;21/03/2018 07:47;3,899414063;21/03/2018 07:48;29,7109375;2,19992733
P31 I 104C;2004;0104C;21/03/2018 07:55;3,87890625;21/03/2018 07:55;0,920898438;3,45600009
P31 I 104C;2026;0104C;21/03/2018 08:00;17,43945313;21/03/2018 08:01;440,0302734;29,94349098
